passage_id,composer,period,work_id,movement_id,recording_id,score_path,mxl_path,audio_path,midi_path,alignment_path,annotation_path,bar_start,bar_end,score_format,alignment_format,rights_status,segment_type,annotation_type,fully_aligned,eligible_for_clamp,availability_status,composition_id,work_title,score_version_id,performance_id,alignment_id,audio_origin,alignment_granularity,alignment_method,alignment_quality,alignment_confidence,source_record_ids,source_dataset,licenses,render_recording_id,render_work_title,render_source_dataset,render_performance_kind,render_status,render_qc_notes,render_output_audio_path,render_output_bytes,render_output_sha256,render_output_duration_sec,render_output_sample_rate_hz,render_output_channels,render_peak_dbfs,render_rms_dbfs,render_manifest_alignment_id
exp_7c9887afc265,Wolfgang Amadeus Mozart,Classical,wrk_b64b2192e969,wrk_b64b2192e969,rec_016cb50c03d1,sources/ACPAS-dataset/subset_S/Mozart/366_CPM_Sonata_No.8_D_major_KV_311_2/S_1498_CPM.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_016cb50c03d1.wav,sources/ACPAS-dataset/subset_S/Mozart/366_CPM_Sonata_No.8_D_major_KV_311_2/S_1498_CPM.mid,data/canonical/alignment_events.csv,,1,687,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_8ca33d2f8bb1,Sonata No.8 D major KV 311 2,scv_06952db7f06a,prf_2434c4da204e,aln_f6d048738d93,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_045f791aa34c;src_91c3d5afa699;src_98e80603d674;src_9a0d69de593d;src_a80bc86a4c74;src_ba6fa42b8f67;src_f0cdabf88368,cpc-rendered,MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_016cb50c03d1,Sonata No.8 D major KV 311 2,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_016cb50c03d1.wav,386449708,919661bcddbc7fd482803d279abf8eca9dbd01756d0d41042d40a8087fd1175d,2012.758667,48000,2,-18.681,-47.386,aln_f6d048738d93
exp_ef601774e74f,Wolfgang Amadeus Mozart,Classical,wrk_2fa6d226fadc,wrk_2fa6d226fadc,rec_0e6b35824f89,sources/ACPAS-dataset/subset_S/Mozart/374_ASAP_Piano_Sonatas_12-1/ASAP_12-1.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_0e6b35824f89.wav,sources/ACPAS-dataset/subset_S/Mozart/374_ASAP_Piano_Sonatas_12-1/ASAP_12-1.mid,data/canonical/alignment_events.csv,,1,229,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_adac7544dea5,Piano Sonatas 12-1,scv_7366396ee839,prf_3b93968ebfc9,aln_9ad25f58046c,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_07c22c5396d6;src_0afebc7f4cff;src_0c94bc9a0e09;src_0d15c86aa340;src_0d5603dbe5e3;src_0fd8d55cd61b;src_15c2c8e7aaaf;src_1abf3c8199ca;src_24f037f265a0;src_2feafe77fb45;src_3161b43d12a2;src_398046b41b1f;src_39bc93a264a3;src_3ef7724dcb93;src_42c5a7472dd4;src_449c619e7b06;src_44c9e83e2d34;src_46036bca0454;src_460e23dafbfc;src_47e3eb9be6ce;src_4d473ef2028b;src_504f51622168;src_5455dc5e0fa6;src_5966c9239ca1;src_59cf516a57bf;src_6517247c666e;src_6795939e6905;src_681be5f7819e;src_6b06642a3a16;src_6d2472e2eb85;src_6d5c740f350c;src_772c8d92b1ac;src_7ad99a4a6282;src_8267604413ee;src_829ca567d246;src_8389b18fede1;src_8afeb6414517;src_8ca285a77009;src_8e75c9965045;src_91f15e348e6d;src_969c75c98765;src_98e80603d674;src_9d2daae1dc76;src_9d66394bc6b2;src_a0235c846619;src_a0ec28194667;src_a18c5fba0ec8;src_a5f6b1f808ce;src_a80bc86a4c74;src_abc1e0a78631;src_ad95a65e4d1d;src_b1d09323c87c;src_b215e701b9ef;src_b8961303feef;src_b9a375b16e03;src_be798d1d6a18;src_c049239c45e6;src_cab548b856fb;src_ce5143c5b12f;src_d17a07d367c8;src_d2adad0aa7f7;src_d44fe079d778;src_d8111c00e6a7;src_e005ca1d8e02;src_e1aeb70d3627;src_e3a1a16defb3;src_e625d38f1681;src_ea16300f0a82;src_ec60949d9db9;src_ecc096c385aa;src_f1007a97618e;src_f2ded2ea8b0d;src_f30c0b1b8b1c;src_f36c44d72230;src_f551b24ef60f;src_f665ed0359ed;src_f9e88dfd3a1f;src_fc48810e4a22;src_fcec570aa9d5;src_ffaea669dcba,cpc-rendered,CC BY-NC-SA 4.0;CC BY-NC-SA 4.0; non-commercial research and education;MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_0e6b35824f89,Piano Sonatas 12-1,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_0e6b35824f89.wav,53540396,f4bdcec2f88cce975db606f1e3ce3f6d3bf90131a7c795acec47341964792dbf,278.856000,48000,2,-12.696,-32.817,aln_9ad25f58046c
exp_e2771fe014bd,Wolfgang Amadeus Mozart,Classical,wrk_16208b873f55,wrk_16208b873f55,rec_0ea81f3f9389,sources/asap-dataset/Mozart/Piano_Sonatas/8-1/midi_score.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_0ea81f3f9389.wav,sources/asap-dataset/Mozart/Piano_Sonatas/8-1/midi_score.mid,data/canonical/alignment_events.csv,,1,133,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_fef1cb83d033,Piano Sonatas 8-1,scv_f5ed897586b0,prf_01447811a173,aln_7a1cd8b3cf4c,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_00a034d80378;src_02351c287cce;src_0959f7f0c921;src_0c5b459f3713;src_120b85d303a3;src_12ac25a9c7d0;src_133fdd89d752;src_1495fd782897;src_1736c0a3ec30;src_1bfba426e3b5;src_1f601191f854;src_20272ab6e36a;src_2030b845ba85;src_2309bfc3c6e7;src_266b4a8f2871;src_2801af45cdb9;src_311cc910ec9c;src_35dc9a227b9d;src_37bb36627b0a;src_38b76ad6d621;src_39888cae09c0;src_3bb556ce074c;src_4335e7ba518b;src_455287f24eaa;src_46ea18ccd982;src_479d2731f25a;src_4974f6228fc1;src_4bb84f052046;src_5382eb64bc78;src_55b5558dc332;src_5dc6eea1d153;src_6e4e2af83481;src_70c832462968;src_76d67f0ab033;src_8146ea358c72;src_8636358d19c6;src_901fd94d7cbe;src_93a7d93d653b;src_958e85443ca9;src_98e80603d674;src_a5055e4ad044;src_a52f8efce7e9;src_a80bc86a4c74;src_abdb8cb63de8;src_adaecf4c039d;src_ceafeec6e80b;src_d5ecb237c645;src_d70d4ac7f1d1;src_d9d6678516c9;src_da251a703348;src_ddb68c27212e;src_e64c5f847c93;src_f170e550391c;src_f772fe35a149,cpc-rendered,CC BY-NC-SA 4.0;MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_0ea81f3f9389,Piano Sonatas 8-1,asap,expressive,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_0ea81f3f9389.wav,51398956,8b3029b199be8d7bf1d646e9f56a035f860a3ca92b357eb3ebe971284d7c25cf,267.702667,48000,2,-11.099,-30.409,aln_7a1cd8b3cf4c
exp_1827d11a50b2,Wolfgang Amadeus Mozart,Classical,wrk_16208b873f55,wrk_16208b873f55,rec_128c2e36aab8,sources/ACPAS-dataset/subset_S/Mozart/386_ASAP_Piano_Sonatas_8-1/ASAP_8-1.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_128c2e36aab8.wav,sources/ACPAS-dataset/subset_S/Mozart/386_ASAP_Piano_Sonatas_8-1/ASAP_8-1.mid,data/canonical/alignment_events.csv,,1,133,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_fef1cb83d033,Piano Sonatas 8-1,scv_e800c11bc3c7,prf_24f307656f35,aln_2aa73efb93b3,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_00a034d80378;src_02351c287cce;src_0959f7f0c921;src_0c5b459f3713;src_120b85d303a3;src_12ac25a9c7d0;src_133fdd89d752;src_1495fd782897;src_1736c0a3ec30;src_1bfba426e3b5;src_1f601191f854;src_20272ab6e36a;src_2030b845ba85;src_2309bfc3c6e7;src_266b4a8f2871;src_2801af45cdb9;src_311cc910ec9c;src_35dc9a227b9d;src_37bb36627b0a;src_38b76ad6d621;src_39888cae09c0;src_3bb556ce074c;src_4335e7ba518b;src_455287f24eaa;src_46ea18ccd982;src_479d2731f25a;src_4974f6228fc1;src_4bb84f052046;src_5382eb64bc78;src_55b5558dc332;src_5dc6eea1d153;src_6e4e2af83481;src_70c832462968;src_76d67f0ab033;src_8146ea358c72;src_8636358d19c6;src_901fd94d7cbe;src_93a7d93d653b;src_958e85443ca9;src_98e80603d674;src_a5055e4ad044;src_a52f8efce7e9;src_a80bc86a4c74;src_abdb8cb63de8;src_adaecf4c039d;src_ceafeec6e80b;src_d5ecb237c645;src_d70d4ac7f1d1;src_d9d6678516c9;src_da251a703348;src_ddb68c27212e;src_e64c5f847c93;src_f170e550391c;src_f772fe35a149,cpc-rendered,CC BY-NC-SA 4.0;MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_128c2e36aab8,Piano Sonatas 8-1,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_128c2e36aab8.wav,51872044,3089d86927b69fdd62136a941a7c4a3d847a68dd794099c36e509d3c8d0d490a,270.166667,48000,2,-10.391,-30.708,aln_2aa73efb93b3
exp_4b156f899743,Wolfgang Amadeus Mozart,Classical,wrk_2fa6d226fadc,wrk_2fa6d226fadc,rec_16e6e8814b9b,sources/ACPAS-dataset/subset_S/Mozart/374_ASAP_Piano_Sonatas_12-1/ASAP_12-1.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_16e6e8814b9b.wav,sources/ACPAS-dataset/subset_S/Mozart/374_ASAP_Piano_Sonatas_12-1/ASAP_12-1.mid,data/canonical/alignment_events.csv,,1,229,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_adac7544dea5,Piano Sonatas 12-1,scv_7366396ee839,prf_5dc94df411b4,aln_75798bc19831,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_07c22c5396d6;src_0afebc7f4cff;src_0c94bc9a0e09;src_0d15c86aa340;src_0d5603dbe5e3;src_0fd8d55cd61b;src_15c2c8e7aaaf;src_1abf3c8199ca;src_24f037f265a0;src_2feafe77fb45;src_3161b43d12a2;src_398046b41b1f;src_39bc93a264a3;src_3ef7724dcb93;src_42c5a7472dd4;src_449c619e7b06;src_44c9e83e2d34;src_46036bca0454;src_460e23dafbfc;src_47e3eb9be6ce;src_4d473ef2028b;src_504f51622168;src_5455dc5e0fa6;src_5966c9239ca1;src_59cf516a57bf;src_6517247c666e;src_6795939e6905;src_681be5f7819e;src_6b06642a3a16;src_6d2472e2eb85;src_6d5c740f350c;src_772c8d92b1ac;src_7ad99a4a6282;src_8267604413ee;src_829ca567d246;src_8389b18fede1;src_8afeb6414517;src_8ca285a77009;src_8e75c9965045;src_91f15e348e6d;src_969c75c98765;src_98e80603d674;src_9d2daae1dc76;src_9d66394bc6b2;src_a0235c846619;src_a0ec28194667;src_a18c5fba0ec8;src_a5f6b1f808ce;src_a80bc86a4c74;src_abc1e0a78631;src_ad95a65e4d1d;src_b1d09323c87c;src_b215e701b9ef;src_b8961303feef;src_b9a375b16e03;src_be798d1d6a18;src_c049239c45e6;src_cab548b856fb;src_ce5143c5b12f;src_d17a07d367c8;src_d2adad0aa7f7;src_d44fe079d778;src_d8111c00e6a7;src_e005ca1d8e02;src_e1aeb70d3627;src_e3a1a16defb3;src_e625d38f1681;src_ea16300f0a82;src_ec60949d9db9;src_ecc096c385aa;src_f1007a97618e;src_f2ded2ea8b0d;src_f30c0b1b8b1c;src_f36c44d72230;src_f551b24ef60f;src_f665ed0359ed;src_f9e88dfd3a1f;src_fc48810e4a22;src_fcec570aa9d5;src_ffaea669dcba,cpc-rendered,CC BY-NC-SA 4.0;CC BY-NC-SA 4.0; non-commercial research and education;MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_16e6e8814b9b,Piano Sonatas 12-1,acpas,expressive,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_16e6e8814b9b.wav,60731948,82df6967cd467d0c3a881754a5e710b10b3a3e92d0807e9b1ee6759bece0945f,316.312000,48000,2,-12.527,-33.387,aln_75798bc19831
exp_6fb6e2688b73,Wolfgang Amadeus Mozart,Classical,wrk_5e3acc6ed9a0,wrk_5e3acc6ed9a0,rec_17c46e1e6557,sources/ACPAS-dataset/subset_S/Mozart/373_CPM_Sonata_No.11_A_major_KV_331_3_Alla_Turca/S_147_A_MAPS_mz_331_3_StbgTGd2.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_17c46e1e6557.wav,sources/ACPAS-dataset/subset_S/Mozart/373_CPM_Sonata_No.11_A_major_KV_331_3_Alla_Turca/S_147_A_MAPS_mz_331_3_StbgTGd2.mid,data/canonical/alignment_events.csv,,1,225,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_db49212242e7,Sonata No.11 A major KV 331 3 Alla Turca,scv_d336c1d1285d,prf_06ae54054c88,aln_b692b0222dda,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_0cf334d0ba52;src_2005a7202940;src_301f82e33315;src_31d521ddb99a;src_32b22a173dec;src_3d188de5d1a9;src_41a95a647dc6;src_46f1668c962b;src_48f055259f4b;src_513dcce3a8d0;src_5c02ce97843e;src_6b885f35d7a0;src_98e80603d674;src_9df6e0db100d;src_a26bd6689d26;src_a6587afd1024;src_a80bc86a4c74;src_b7a270870566;src_bb3e3417cb3d;src_bb74cccb38da;src_c65081aea95f;src_c7b751c4833d;src_c86a515000ae;src_ca747718fbcc;src_e5be6dcbdebf,cpc-rendered,MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_17c46e1e6557,Sonata No.11 A major KV 331 3 Alla Turca,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_17c46e1e6557.wav,40044076,2eb3d5f61edbbb9d8507c97023ba60b0d2be72c484b48dc20737701c558b716c,208.562667,48000,2,-12.170,-31.813,aln_b692b0222dda
exp_65c381bfb7ef,Wolfgang Amadeus Mozart,Classical,wrk_ab0f834b90b5,wrk_ab0f834b90b5,rec_17eb936080ac,sources/ACPAS-dataset/subset_S/Mozart/375_CPM_Sonata_No.12_F_major_KV_332_2/S_149_A_MAPS_mz_332_2_StbgTGd2.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_17eb936080ac.wav,sources/ACPAS-dataset/subset_S/Mozart/375_CPM_Sonata_No.12_F_major_KV_332_2/S_149_A_MAPS_mz_332_2_StbgTGd2.mid,data/canonical/alignment_events.csv,,1,82,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_2d3dbfa86295,Sonata No.12 F major KV 332 2,scv_2c1989e6f807,prf_b2e158be8258,aln_114216804f93,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_299f50cfea1d;src_2ce218411100;src_2e2f1892630b;src_32af3d8002bf;src_46f1c5045232;src_6b2bbaa820f4;src_8dcb6182abfe;src_98e80603d674;src_a1290df090af;src_a80bc86a4c74;src_bb1904e8eb5e;src_bc8b18cc3782;src_c46870226add;src_c58e7833417a;src_c7e02667684f;src_d1d28b0a40ab;src_e4dcb9013b50;src_e82de3db48da;src_f2f6651e07ea,cpc-rendered,MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_17eb936080ac,Sonata No.12 F major KV 332 2,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_17eb936080ac.wav,51499820,422d60c86122967760525f815300e58b6446b71a672fbc4be5f0eb4bc47a0dcc,268.228000,48000,2,-18.963,-38.053,aln_114216804f93
exp_9ad4d31bd9b9,Wolfgang Amadeus Mozart,Classical,wrk_11ba43ed6610,wrk_11ba43ed6610,rec_186f6bb07225,sources/ACPAS-dataset/subset_S/Mozart/369_CPM_Sonata_No.10_C_major_KV_330_2/S_1501_CPM.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_186f6bb07225.wav,sources/ACPAS-dataset/subset_S/Mozart/369_CPM_Sonata_No.10_C_major_KV_330_2/S_1501_CPM.mid,data/canonical/alignment_events.csv,,1,101,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_d05a37c6e964,Sonata No.10 C major KV 330 2,scv_cb0c7ebce59a,prf_6b0627a80a11,aln_4d68e3d57cda,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_02aeb06c352e;src_6ac09776277f;src_890e5dc8083f;src_970568436f7a;src_98e80603d674;src_a80bc86a4c74;src_c0c6cb262e5b,cpc-rendered,MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_186f6bb07225,Sonata No.10 C major KV 330 2,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_186f6bb07225.wav,76285484,868423b1c1c954a71a27bc12887efaff980f356d29ec0165cb7bf86335525ecd,397.320000,48000,2,-16.227,-38.351,aln_4d68e3d57cda
exp_f9b3897edca5,Wolfgang Amadeus Mozart,Classical,wrk_16208b873f55,wrk_16208b873f55,rec_1be7357ac69a,sources/ACPAS-dataset/subset_S/Mozart/386_ASAP_Piano_Sonatas_8-1/ASAP_8-1.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_1be7357ac69a.wav,sources/ACPAS-dataset/subset_S/Mozart/386_ASAP_Piano_Sonatas_8-1/ASAP_8-1.mid,data/canonical/alignment_events.csv,,1,133,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_fef1cb83d033,Piano Sonatas 8-1,scv_e800c11bc3c7,prf_b3bea2e5b6b1,aln_0bd63e370092,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_00a034d80378;src_02351c287cce;src_0959f7f0c921;src_0c5b459f3713;src_120b85d303a3;src_12ac25a9c7d0;src_133fdd89d752;src_1495fd782897;src_1736c0a3ec30;src_1bfba426e3b5;src_1f601191f854;src_20272ab6e36a;src_2030b845ba85;src_2309bfc3c6e7;src_266b4a8f2871;src_2801af45cdb9;src_311cc910ec9c;src_35dc9a227b9d;src_37bb36627b0a;src_38b76ad6d621;src_39888cae09c0;src_3bb556ce074c;src_4335e7ba518b;src_455287f24eaa;src_46ea18ccd982;src_479d2731f25a;src_4974f6228fc1;src_4bb84f052046;src_5382eb64bc78;src_55b5558dc332;src_5dc6eea1d153;src_6e4e2af83481;src_70c832462968;src_76d67f0ab033;src_8146ea358c72;src_8636358d19c6;src_901fd94d7cbe;src_93a7d93d653b;src_958e85443ca9;src_98e80603d674;src_a5055e4ad044;src_a52f8efce7e9;src_a80bc86a4c74;src_abdb8cb63de8;src_adaecf4c039d;src_ceafeec6e80b;src_d5ecb237c645;src_d70d4ac7f1d1;src_d9d6678516c9;src_da251a703348;src_ddb68c27212e;src_e64c5f847c93;src_f170e550391c;src_f772fe35a149,cpc-rendered,CC BY-NC-SA 4.0;MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_1be7357ac69a,Piano Sonatas 8-1,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_1be7357ac69a.wav,47829548,e99df87daeb7e73a7f8867ae5d4bb3b78ad8cc49a4231382a39940b67b4d732e,249.112000,48000,2,-9.794,-30.396,aln_0bd63e370092
exp_f144c9e07dbf,Wolfgang Amadeus Mozart,Classical,wrk_6ce03f05af78,wrk_6ce03f05af78,rec_2227bc843d1e,sources/ACPAS-dataset/subset_S/Mozart/379_CPM_Sonata_No.13_Bb_major_KV_333_3/S_1511_CPM.mid,,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_2227bc843d1e.wav,sources/ACPAS-dataset/subset_S/Mozart/379_CPM_Sonata_No.13_Bb_major_KV_333_3/S_1511_CPM.mid,data/canonical/alignment_events.csv,,1,225,mid,cpc_canonical_beat,licensed_for_research,complete_movement,,true,true,ready,cmp_597e34f68688,Sonata No.13 Bb major KV 333 3,scv_dbad97890e36,prf_e8f3554c8c63,aln_a783eb375c56,synthetic_rendering,beat,source_provided_beat_annotations,source_exact,1.00,src_0640c63aba27;src_0950ca8b92b8;src_0dcb28645532;src_0fd6b783c1b8;src_28096b2e13e3;src_2b0ec5457abc;src_31e6285994f4;src_46fbd15de8fa;src_7648271d60a6;src_7bea5aaf912b;src_8b75b4e68eeb;src_98e80603d674;src_a4fd97027fe1;src_a80bc86a4c74;src_bdc23eefd745;src_c8a16abdb42d;src_e42854aa5938;src_ee891eb762bb;src_f2b90cf613d2,cpc-rendered,MIT;derived audio; source MIDI terms apply; SoundFont MIT;mixed,rec_2227bc843d1e,Sonata No.13 Bb major KV 333 3,acpas,synthetic,complete,pass,data/derived/rendered_audio/fluidsynth-2.5.6-musescore-general-0.2-v1/rec_2227bc843d1e.wav,68535084,40455c6380453dd90b08088767d110f8bb79deba18e7638fb4da07cc40d3ed59,356.953333,48000,2,-10.314,-31.633,aln_a783eb375c56
